Departing,arriving,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),Seats,Year
ADELAIDE,ALICE SPRINGS,Sep-24,9376,171,64.5,1316,14531,2024
ADELAIDE,BRISBANE,Sep-24,70234,626,88,1622,79808,2024
ADELAIDE,CANBERRA,Sep-24,16508,222,68.7,972,24046,2024
ADELAIDE,CAIRNS,Sep-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Sep-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Sep-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Sep-24,185067,1332,83.8,643,220936,2024
ADELAIDE,GOLD COAST,Sep-24,23574,127,93.6,1607,25192,2024
ADELAIDE,PERTH,Sep-24,60798,400,85,2120,71531,2024
ADELAIDE,PORT LINCOLN,Sep-24,13737,563,59.4,246,23119,2024
ADELAIDE,SYDNEY,Sep-24,155077,1126,81.2,1167,191029,2024
ARMIDALE,SYDNEY,Sep-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Sep-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Sep-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Sep-24,0,0,0,2022,0,2024
AYERS ROCK,SYDNEY,Sep-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Sep-24,12380,308,65.6,287,18882,2024
BROOME,PERTH,Sep-24,35697,277,86.2,1677,41399,2024
BRISBANE,CANBERRA,Sep-24,55944,561,81.2,956,68917,2024
BRISBANE,CAIRNS,Sep-24,118166,897,90.9,1391,129991,2024
BRISBANE,DARWIN,Sep-24,29413,237,91.8,2852,32040,2024
BRISBANE,EMERALD,Sep-24,16164,346,63.3,653,25530,2024
BRISBANE,GLADSTONE,Sep-24,19266,334,67,434,28748,2024
BRISBANE,HOBART,Sep-24,24339,172,87.5,1791,27825,2024
BRISBANE,HAMILTON ISLAND,Sep-24,15733,128,87.6,888,17957,2024
BRISBANE,MOUNT ISA,Sep-24,14128,169,73.9,1573,19118,2024
BRISBANE,LAUNCESTON,Sep-24,13266,88,89.2,1664,14880,2024
BRISBANE,MELBOURNE,Sep-24,314912,2151,87.5,1381,359692,2024
BRISBANE,MACKAY,Sep-24,68579,618,85.8,797,79936,2024
BRISBANE,MORANBAH,Sep-24,9415,222,56.6,780,16643,2024
BRISBANE,NEWCASTLE,Sep-24,43964,435,85.3,614,51537,2024
BRISBANE,PERTH,Sep-24,94180,612,88.3,3615,106646,2024
BRISBANE,PROSERPINE,Sep-24,25419,168,94.1,895,27022,2024
BRISBANE,ROCKHAMPTON,Sep-24,54295,693,84.2,518,64501,2024
BRISBANE,SYDNEY,Sep-24,364980,2550,86.3,753,422868,2024
BRISBANE,TOWNSVILLE,Sep-24,85532,764,87.2,1112,98068,2024
CANBERRA,MELBOURNE,Sep-24,86584,705,79.8,470,108449,2024
CANBERRA,GOLD COAST,Sep-24,15208,92,92.2,892,16488,2024
CANBERRA,SYDNEY,Sep-24,56441,1221,62.9,236,89794,2024
COFFS HARBOUR,SYDNEY,Sep-24,17642,393,80.1,443,22019,2024
CAIRNS,MELBOURNE,Sep-24,78736,455,90.8,2311,86725,2024
CAIRNS,GOLD COAST,Sep-24,0,0,0,1484,0,2024
CAIRNS,SYDNEY,Sep-24,79107,501,84.1,1971,94065,2024
CAIRNS,TOWNSVILLE,Sep-24,0,0,0,284,0,2024
DUBBO,SYDNEY,Sep-24,14820,458,62.2,310,23812,2024
DEVONPORT,MELBOURNE,Sep-24,9994,319,68.9,412,14510,2024
DARWIN,MELBOURNE,Sep-24,28900,180,86.7,3131,33338,2024
DARWIN,PERTH,Sep-24,18363,141,74.5,2651,24636,2024
DARWIN,SYDNEY,Sep-24,0,0,0,3155,0,2024
GERALDTON,PERTH,Sep-24,9995,202,53,370,18433,2024
HOBART,MELBOURNE,Sep-24,104286,713,85.2,618,122392,2024
HOBART,SYDNEY,Sep-24,62113,453,77.8,1039,79860,2024
HAMILTON ISLAND,MELBOURNE,Sep-24,0,0,0,1965,0,2024
HAMILTON ISLAND,SYDNEY,Sep-24,23118,158,83,1526,27840,2024
KALGOORLIE,PERTH,Sep-24,31309,382,54.3,538,56528,2024
KARRATHA,PERTH,Sep-24,52389,453,69.1,1250,75854,2024
LAUNCESTON,MELBOURNE,Sep-24,65200,657,81,476,80445,2024
LAUNCESTON,SYDNEY,Sep-24,26231,194,83.7,914,31340,2024
SUNSHINE COAST,MELBOURNE,Sep-24,59520,356,93.1,1454,63900,2024
SUNSHINE COAST,SYDNEY,Sep-24,63323,407,86.9,837,72877,2024
MELBOURNE,MILDURA,Sep-24,12084,414,69.2,457,17452,2024
MELBOURNE,NEWCASTLE,Sep-24,39616,306,85,836,46588,2024
MELBOURNE,GOLD COAST,Sep-24,175570,1025,92.7,1330,189351,2024
MELBOURNE,PERTH,Sep-24,169164,1089,85.2,2706,198533,2024
MELBOURNE,BALLINA,Sep-24,0,0,0,1274,0,2024
MELBOURNE,SYDNEY,Sep-24,662132,4548,83.4,706,793855,2024
MELBOURNE,TOWNSVILLE,Sep-24,0,0,0,2055,0,2024
GOLD COAST,SYDNEY,Sep-24,208770,1311,89.2,680,234016,2024
PERTH,PORT HEDLAND,Sep-24,40213,382,65.8,1312,61125,2024
PERTH,SYDNEY,Sep-24,141360,869,84.9,3284,166549,2024
PERTH,NEWMAN,Sep-24,33291,335,62.2,1019,53495,2024
PROSERPINE,SYDNEY,Sep-24,0,0,0,1517,0,2024
PORT MACQUARIE,SYDNEY,Sep-24,13320,305,72.1,321,18485,2024
BALLINA,SYDNEY,Sep-24,44028,341,86.8,612,50723,2024
SYDNEY,TAMWORTH,45536,0,0,0,320,0,2024
SYDNEY,TOWNSVILLE,45536,0,0,0,1690,0,2024
SYDNEY,WAGGA WAGGA,45536,14015,382,66.5,367,21068,2024
ALBURY,SYDNEY,Oct-24,13957,358,73.1,452,19084,2024
ADELAIDE,ALICE SPRINGS,Oct-24,9022,162,67.3,1316,13400,2024
ADELAIDE,BRISBANE,Oct-24,77110,655,92.6,1622,83303,2024
ADELAIDE,CANBERRA,Oct-24,17874,219,75.7,972,23610,2024
ADELAIDE,CAIRNS,Oct-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Oct-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Oct-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Oct-24,206200,1373,90.4,643,228145,2024
ADELAIDE,GOLD COAST,Oct-24,24782,136,93.2,1607,26587,2024
ADELAIDE,PERTH,Oct-24,64082,407,87.8,2120,72966,2024
ADELAIDE,PORT LINCOLN,Oct-24,15023,568,64.3,246,23368,2024
ADELAIDE,SYDNEY,Oct-24,179288,1182,89.3,1167,200742,2024
ARMIDALE,SYDNEY,Oct-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Oct-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Oct-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Oct-24,0,0,0,2022,0,2024
AYERS ROCK,MELBOURNE,Oct-24,11300,80,79,1910,14312,2024
AYERS ROCK,SYDNEY,Oct-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Oct-24,12854,315,66.7,287,19264,2024
BROOME,PERTH,Oct-24,32322,275,77.4,1677,41764,2024
BRISBANE,CANBERRA,Oct-24,57740,574,81.2,956,71131,2024
BRISBANE,CAIRNS,Oct-24,118858,877,92.3,1391,128777,2024
BRISBANE,DARWIN,Oct-24,28092,213,87.3,2852,32185,2024
BRISBANE,EMERALD,Oct-24,17382,356,64.6,653,26887,2024
BRISBANE,GLADSTONE,Oct-24,20076,338,68.5,434,29308,2024
BRISBANE,HOBART,Oct-24,26578,178,91.3,1791,29125,2024
BRISBANE,HAMILTON ISLAND,Oct-24,15824,128,88,888,17988,2024
BRISBANE,MOUNT ISA,Oct-24,14018,192,69.2,1573,20248,2024
BRISBANE,LAUNCESTON,Oct-24,12919,82,88.3,1664,14636,2024
BRISBANE,MELBOURNE,Oct-24,322143,2173,89.7,1381,359156,2024
BRISBANE,MACKAY,Oct-24,67373,689,86.3,797,78072,2024
BRISBANE,MORANBAH,Oct-24,10128,238,56.7,780,17876,2024
BRISBANE,NEWCASTLE,Oct-24,47321,446,89,614,53180,2024
BRISBANE,PERTH,Oct-24,102772,656,90.2,3615,113881,2024
BRISBANE,PROSERPINE,Oct-24,26293,172,93.6,895,28080,2024
BRISBANE,ROCKHAMPTON,Oct-24,56026,710,84.2,518,66560,2024
BRISBANE,SYDNEY,Oct-24,404153,2672,91.1,753,443782,2024
BRISBANE,TOWNSVILLE,Oct-24,84700,779,85.9,1112,98548,2024
CANBERRA,MELBOURNE,Oct-24,88622,717,80.5,470,110076,2024
CANBERRA,GOLD COAST,Oct-24,15212,94,90.3,892,16847,2024
CANBERRA,SYDNEY,Oct-24,58596,1335,63.9,236,91721,2024
COFFS HARBOUR,SYDNEY,Oct-24,18265,406,78.9,443,23147,2024
CAIRNS,MELBOURNE,Oct-24,79020,444,92.6,2311,85375,2024
CAIRNS,GOLD COAST,Oct-24,0,0,0,1484,0,2024
CAIRNS,SYDNEY,Oct-24,87228,514,91.5,1971,95342,2024
CAIRNS,TOWNSVILLE,Oct-24,0,0,0,284,0,2024
DUBBO,SYDNEY,Oct-24,15921,487,62.5,310,25455,2024
DEVONPORT,MELBOURNE,Oct-24,11075,322,76.7,412,14437,2024
DARWIN,MELBOURNE,Oct-24,27532,181,82.8,3131,33238,2024
DARWIN,PERTH,Oct-24,15413,120,73,2651,21120,2024
DARWIN,SYDNEY,Oct-24,0,0,0,3155,0,2024
GERALDTON,PERTH,Oct-24,10973,213,55.7,370,19688,2024
HOBART,MELBOURNE,Oct-24,113885,752,86.5,618,131631,2024
HOBART,SYDNEY,Oct-24,73978,482,86.4,1039,85603,2024
HAMILTON ISLAND,MELBOURNE,Oct-24,0,0,0,1965,0,2024
HAMILTON ISLAND,SYDNEY,Oct-24,24726,156,89.4,1526,27644,2024
KALGOORLIE,PERTH,Oct-24,35568,403,59.8,538,59462,2024
KARRATHA,PERTH,Oct-24,56394,482,70,1250,80551,2024
LAUNCESTON,MELBOURNE,Oct-24,70988,632,86,476,82574,2024
LAUNCESTON,SYDNEY,Oct-24,29762,194,92.6,914,32131,2024
SUNSHINE COAST,MELBOURNE,Oct-24,58558,343,91.9,1454,63750,2024
SUNSHINE COAST,SYDNEY,Oct-24,71461,440,90.6,837,78893,2024
MELBOURNE,MILDURA,Oct-24,12831,399,77.5,457,16560,2024
MELBOURNE,NEWCASTLE,Oct-24,42534,310,90.1,836,47233,2024
MELBOURNE,GOLD COAST,Oct-24,192225,1104,94.2,1330,203950,2024
MELBOURNE,PERTH,Oct-24,184411,1130,89.5,2706,206055,2024
MELBOURNE,BALLINA,Oct-24,0,0,0,1274,0,2024
MELBOURNE,SYDNEY,Oct-24,732012,4776,88.7,706,825667,2024
MELBOURNE,TOWNSVILLE,Oct-24,0,0,0,2055,0,2024
GOLD COAST,SYDNEY,Oct-24,230329,1405,92.9,680,248035,2024
PERTH,PORT HEDLAND,Oct-24,44490,398,69.5,1312,63992,2024
PERTH,SYDNEY,Oct-24,152975,881,91.3,3284,167527,2024
PERTH,NEWMAN,Oct-24,39531,363,67.5,1019,58544,2024
PROSERPINE,SYDNEY,Oct-24,0,0,0,1517,0,2024
PORT MACQUARIE,SYDNEY,Oct-24,14658,345,70.7,321,20730,2024
BALLINA,SYDNEY,Oct-24,49176,364,90.7,612,54224,2024
SYDNEY,TAMWORTH,45566,0,0,0,320,0,2024
SYDNEY,TOWNSVILLE,45566,0,0,0,1690,0,2024
SYDNEY,WAGGA WAGGA,45566,15340,407,66.7,367,22998,2024
ALBURY,SYDNEY,Nov-24,13826,330,74.7,452,18500,2024
ADELAIDE,ALICE SPRINGS,Nov-24,8889,143,74.6,1316,11912,2024
ADELAIDE,BRISBANE,Nov-24,78710,679,90.4,1622,87072,2024
ADELAIDE,CANBERRA,Nov-24,19106,216,81.1,972,23559,2024
ADELAIDE,CAIRNS,Nov-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Nov-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Nov-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Nov-24,202262,1309,91.5,643,220956,2024
ADELAIDE,GOLD COAST,Nov-24,22926,122,92.6,1607,24753,2024
ADELAIDE,PERTH,Nov-24,61454,400,86.4,2120,71091,2024
ADELAIDE,PORT LINCOLN,Nov-24,13826,508,66.9,246,20675,2024
ADELAIDE,SYDNEY,Nov-24,168468,1100,91.3,1167,184568,2024
ARMIDALE,SYDNEY,Nov-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Nov-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Nov-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Nov-24,0,0,0,2022,0,2024
ALICE SPRINGS,SYDNEY,Nov-24,0,0,0,2022,0,2024
AYERS ROCK,MELBOURNE,Nov-24,10251,70,81,1910,12652,2024
AYERS ROCK,SYDNEY,Nov-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Nov-24,12008,297,66.5,287,18068,2024
BROOME,PERTH,Nov-24,26738,245,77.2,1677,34632,2024
BRISBANE,CANBERRA,Nov-24,59618,569,83,956,71846,2024
BRISBANE,CAIRNS,Nov-24,107569,820,93.1,1391,115562,2024
BRISBANE,DARWIN,Nov-24,23706,152,88.2,2852,26884,2024
BRISBANE,EMERALD,Nov-24,16049,311,65.8,653,24388,2024
BRISBANE,GLADSTONE,Nov-24,19756,307,70.7,434,27928,2024
BRISBANE,HOBART,Nov-24,26066,184,89.9,1791,29006,2024
BRISBANE,HAMILTON ISLAND,Nov-24,14151,115,88.4,888,16016,2024
BRISBANE,MOUNT ISA,Nov-24,13063,232,73.5,1573,17772,2024
BRISBANE,LAUNCESTON,Nov-24,13051,80,90,1664,14508,2024
BRISBANE,MELBOURNE,Nov-24,307230,2020,90.7,1381,338744,2024
BRISBANE,MACKAY,Nov-24,65219,607,86.6,797,75331,2024
BRISBANE,MORANBAH,Nov-24,9353,216,57.7,780,16210,2024
BRISBANE,NEWCASTLE,Nov-24,45033,423,89.2,614,50495,2024
BRISBANE,PERTH,Nov-24,98658,655,87.1,3615,113237,2024
BRISBANE,PROSERPINE,Nov-24,23064,158,90.1,895,25592,2024
BRISBANE,ROCKHAMPTON,Nov-24,52830,665,86.1,518,61336,2024
BRISBANE,SYDNEY,Nov-24,386227,2495,93.8,753,411652,2024
BRISBANE,TOWNSVILLE,Nov-24,79251,734,83.6,1112,94747,2024
CANBERRA,MELBOURNE,Nov-24,91418,702,84.8,470,107757,2024
CANBERRA,GOLD COAST,Nov-24,13982,86,90.7,892,15420,2024
CANBERRA,SYDNEY,Nov-24,62631,1343,73.7,236,85027,2024
COFFS HARBOUR,SYDNEY,Nov-24,17310,368,82.2,443,21059,2024
CAIRNS,MELBOURNE,Nov-24,65380,365,92.1,2311,70997,2024
CAIRNS,GOLD COAST,Nov-24,0,0,0,1484,0,2024
CAIRNS,SYDNEY,Nov-24,69141,393,94.1,1971,73455,2024
CAIRNS,TOWNSVILLE,Nov-24,0,0,0,284,0,2024
DUBBO,SYDNEY,Nov-24,15425,456,65.3,310,23632,2024
DEVONPORT,MELBOURNE,Nov-24,10729,292,80.6,412,13304,2024
DARWIN,MELBOURNE,Nov-24,21409,152,79.3,3131,26988,2024
DARWIN,PERTH,Nov-24,13557,107,72.3,2651,18760,2024
DARWIN,SYDNEY,Nov-24,0,0,0,3155,0,2024
GERALDTON,PERTH,Nov-24,10569,202,58.4,370,18104,2024
HOBART,MELBOURNE,Nov-24,117815,737,90.3,618,130426,2024
HOBART,SYDNEY,Nov-24,72399,465,86.7,1039,83463,2024
HAMILTON ISLAND,MELBOURNE,Nov-24,0,0,0,1965,0,2024
HAMILTON ISLAND,SYDNEY,Nov-24,20812,141,83.8,1526,24847,2024
KALGOORLIE,PERTH,Nov-24,31561,358,61.6,538,51260,2024
KARRATHA,PERTH,Nov-24,53730,447,73.7,1250,72933,2024
LAUNCESTON,MELBOURNE,Nov-24,68625,530,89.8,476,76415,2024
LAUNCESTON,SYDNEY,Nov-24,29383,193,90.3,914,32531,2024
SUNSHINE COAST,MELBOURNE,Nov-24,65888,374,90.5,1454,72829,2024
SUNSHINE COAST,SYDNEY,Nov-24,70958,444,89,837,79758,2024
MELBOURNE,MILDURA,Nov-24,12656,390,76.4,457,16556,2024
MELBOURNE,NEWCASTLE,Nov-24,41095,296,91.1,836,45129,2024
MELBOURNE,GOLD COAST,Nov-24,175094,1016,92.8,1330,188660,2024
MELBOURNE,PERTH,Nov-24,177469,1095,89.8,2706,197573,2024
MELBOURNE,BALLINA,Nov-24,0,0,0,1274,0,2024
MELBOURNE,SYDNEY,Nov-24,704459,4407,92.3,706,763228,2024
MELBOURNE,TOWNSVILLE,Nov-24,0,0,0,2055,0,2024
GOLD COAST,SYDNEY,Nov-24,200092,1238,92.6,680,216038,2024
PERTH,PORT HEDLAND,Nov-24,40493,371,66.6,1312,60808,2024
PERTH,SYDNEY,Nov-24,147230,862,90,3284,163560,2024
PERTH,NEWMAN,Nov-24,35377,332,65.7,1019,53808,2024
PROSERPINE,SYDNEY,Nov-24,0,0,0,1517,0,2024
PORT MACQUARIE,SYDNEY,Nov-24,14765,361,71.6,321,20622,2024
BALLINA,SYDNEY,Nov-24,47437,345,91.6,612,51812,2024
SYDNEY,TAMWORTH,45597,0,0,0,320,0,2024
SYDNEY,TOWNSVILLE,45597,0,0,0,1690,0,2024
SYDNEY,WAGGA WAGGA,45597,13852,379,67.1,367,20638,2024
ALBURY,SYDNEY,Dec-24,12359,312,68.9,452,17928,2024
ADELAIDE,ALICE SPRINGS,Dec-24,7575,131,68.1,1316,11122,2024
ADELAIDE,BRISBANE,Dec-24,79281,690,87.4,1622,90685,2024
ADELAIDE,CANBERRA,Dec-24,15906,191,75.2,972,21161,2024
ADELAIDE,CAIRNS,Dec-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Dec-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Dec-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Dec-24,193424,1316,86.9,643,222553,2024
ADELAIDE,GOLD COAST,Dec-24,28076,172,87.1,1607,32218,2024
ADELAIDE,PERTH,Dec-24,62753,427,84,2120,74712,2024
ADELAIDE,PORT LINCOLN,Dec-24,13865,500,68.4,246,20277,2024
ADELAIDE,SYDNEY,Dec-24,167764,1183,85.3,1167,196698,2024
ARMIDALE,SYDNEY,Dec-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Dec-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Dec-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Dec-24,0,0,0,2022,0,2024
AYERS ROCK,MELBOURNE,Dec-24,8026,70,63.6,1910,12628,2024
AYERS ROCK,SYDNEY,Dec-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Dec-24,11157,293,61.4,287,18160,2024
BROOME,PERTH,Dec-24,24960,244,69.8,1677,35739,2024
BRISBANE,CANBERRA,Dec-24,56215,542,79.9,956,70373,2024
BRISBANE,CAIRNS,Dec-24,104838,852,86.6,1391,121081,2024
BRISBANE,DARWIN,Dec-24,26622,186,81.2,2852,32794,2024
BRISBANE,EMERALD,Dec-24,14271,279,64.3,653,22196,2024
BRISBANE,GLADSTONE,Dec-24,17523,302,64.9,434,27008,2024
BRISBANE,HOBART,Dec-24,34941,254,89.6,1791,39015,2024
BRISBANE,HAMILTON ISLAND,Dec-24,17297,165,74.2,888,23327,2024
BRISBANE,MOUNT ISA,Dec-24,11018,217,64.8,1573,16992,2024
BRISBANE,LAUNCESTON,Dec-24,18294,124,88.2,1664,20740,2024
BRISBANE,MELBOURNE,Dec-24,298302,2047,87.6,1381,340700,2024
BRISBANE,MACKAY,Dec-24,62197,593,83.8,797,74228,2024
BRISBANE,MORANBAH,Dec-24,8001,198,53.9,780,14846,2024
BRISBANE,NEWCASTLE,Dec-24,44216,420,86.8,614,50944,2024
BRISBANE,PERTH,Dec-24,104453,679,88.1,3615,118510,2024
BRISBANE,PROSERPINE,Dec-24,27035,192,85.3,895,31694,2024
BRISBANE,ROCKHAMPTON,Dec-24,48634,641,83.8,518,58070,2024
BRISBANE,SYDNEY,Dec-24,368935,2462,89.5,753,412083,2024
BRISBANE,TOWNSVILLE,Dec-24,79218,746,83.6,1112,94758,2024
CANBERRA,MELBOURNE,Dec-24,77141,599,84,470,91811,2024
CANBERRA,GOLD COAST,Dec-24,15119,96,87.8,892,17224,2024
CANBERRA,SYDNEY,Dec-24,47893,1013,67.8,236,70634,2024
COFFS HARBOUR,SYDNEY,Dec-24,17811,361,70.7,443,25199,2024
CAIRNS,MELBOURNE,Dec-24,73532,459,83.3,2311,88227,2024
CAIRNS,GOLD COAST,Dec-24,0,0,0,1484,0,2024
CAIRNS,SYDNEY,Dec-24,79991,507,86.1,1971,92956,2024
CAIRNS,TOWNSVILLE,Dec-24,0,0,0,284,0,2024
DUBBO,SYDNEY,Dec-24,12604,382,59.6,310,21164,2024
DEVONPORT,MELBOURNE,Dec-24,10718,294,74.7,412,14348,2024
DARWIN,MELBOURNE,Dec-24,22986,170,75.7,3131,30370,2024
DARWIN,PERTH,Dec-24,14462,116,78.6,2651,18408,2024
DARWIN,SYDNEY,Dec-24,0,0,0,3155,0,2024
GERALDTON,PERTH,Dec-24,9029,202,52,370,17352,2024
HOBART,MELBOURNE,Dec-24,133120,867,86.8,618,153398,2024
HOBART,SYDNEY,Dec-24,81486,536,87,1039,93669,2024
HAMILTON ISLAND,MELBOURNE,Dec-24,0,0,0,1965,0,2024
HAMILTON ISLAND,SYDNEY,Dec-24,22969,159,81.9,1526,28030,2024
KALGOORLIE,PERTH,Dec-24,27337,348,55.5,538,49280,2024
KARRATHA,PERTH,Dec-24,45311,416,66.3,1250,68382,2024
LAUNCESTON,MELBOURNE,Dec-24,76583,623,83.3,476,91897,2024
LAUNCESTON,SYDNEY,Dec-24,35183,240,86.6,914,40640,2024
SUNSHINE COAST,MELBOURNE,Dec-24,72769,454,85.2,1454,85432,2024
SUNSHINE COAST,SYDNEY,Dec-24,73040,481,84.4,837,86494,2024
MELBOURNE,MILDURA,Dec-24,12006,376,67.4,457,17824,2024
MELBOURNE,NEWCASTLE,Dec-24,38835,284,86.9,836,44672,2024
MELBOURNE,GOLD COAST,Dec-24,210973,1336,86.9,1330,242648,2024
MELBOURNE,PERTH,Dec-24,189054,1157,89.2,2706,212014,2024
MELBOURNE,BALLINA,Dec-24,0,0,0,1274,0,2024
MELBOURNE,SYDNEY,Dec-24,671580,4257,90.7,706,740292,2024
MELBOURNE,TOWNSVILLE,Dec-24,0,0,0,2055,0,2024
GOLD COAST,SYDNEY,Dec-24,220450,1412,89.1,680,247463,2024
PERTH,PORT HEDLAND,Dec-24,35689,363,59.8,1312,59662,2024
PERTH,SYDNEY,Dec-24,155668,928,90.1,3284,172714,2024
PERTH,NEWMAN,Dec-24,30819,336,56.3,1019,54720,2024
PROSERPINE,SYDNEY,Dec-24,0,0,0,1517,0,2024
PORT MACQUARIE,SYDNEY,Dec-24,14659,348,71.5,321,20495,2024
BALLINA,SYDNEY,Dec-24,48852,355,90,612,54253,2024
SYDNEY,TAMWORTH,45627,0,0,0,320,0,2024
SYDNEY,TOWNSVILLE,45627,0,0,0,1690,0,2024
SYDNEY,WAGGA WAGGA,45627,12135,335,63.3,367,19182,2024
